f, real(neff), imag(neff), real(beta), imag(beta), f_ng, ng, f_D, D 
1.98538e+14, 2.49192, 9.08432e-08, 1.0369e+07, 0.378003, 1.97983e+14, 4.05331, 1.97428e+14, 0.00116251 
1.97428e+14, 2.48314, 1.07591e-07, 1.02747e+07, 0.445188, 1.96873e+14, 4.05629, 1.96318e+14, 0.00114185 
1.96318e+14, 2.47425, 1.27585e-07, 1.01804e+07, 0.524952, 1.95763e+14, 4.05924, 1.95208e+14, 0.00111923 
1.95208e+14, 2.46524, 1.51507e-07, 1.00859e+07, 0.619854, 1.94653e+14, 4.06217, 1.94098e+14, 0.0010944 
1.94098e+14, 2.4561, 1.80196e-07, 9.99143e+06, 0.733039, 1.93543e+14, 4.06507, 1.92988e+14, 0.00106719 
1.92988e+14, 2.44685, 2.14696e-07, 9.89687e+06, 0.868388, 1.92433e+14, 4.06793, 191878494367390, 0.00103741 
191878494367390, 2.43747, 2.56302e-07, 9.80224e+06, 1.03071, 1.91324e+14, 4.07074, 1.90769e+14, 0.00100486 
1.90769e+14, 2.42797, 3.0664e-07, 9.70755e+06, 1.22601, 1.90214e+14, 4.07349, 1.89659e+14, 0.000969314 
1.89659e+14, 2.41834, 3.67755e-07, 9.61279e+06, 1.46181, 1.89104e+14, 4.07618, 0, 0 
1.88549e+14, 2.40858, 4.42237e-07, 9.51797e+06, 1.74758, 0, 0, 0, 0 

