DeviceID,R [um],wR [nm],wB [nm],CA [deg],g1 [nm],g2 [nm],g3 [nm],g4 [nm],g5 [nm],g6 [nm]
3R_V1,2.5,450,340,100,200,210,300,200,none,none
3R_V2,2.5,450,360,100,200,210,300,200,none,none
3R_V3,2.5,450,380,100,200,210,300,200,none,none
3R_V4,3.5,450,340,100,200,210,300,200,none,none
3R_V5,3.5,450,360,100,200,210,300,200,none,none
3R_V6,3.5,450,380,100,200,210,300,200,none,none
4R_V1,2.5,450,340,100,200,225,290,225,200,none
4R_V2,2.5,450,370,100,200,225,290,225,200,none
4R_V3,2.5,450,400,100,200,225,290,225,200,none
4R_V4,3.5,450,340,100,200,225,290,225,200,none
4R_V5,3.5,450,370,100,200,225,290,225,200,none
4R_V6,3.5,450,400,100,200,225,290,225,200,none
5R_V1,2.5,450,340,110,200,225,300,300,225,200
5R_V2,2.5,450,370,110,200,225,300,300,225,200
5R_V3,2.5,450,400,110,200,225,300,300,225,200
5R_V4,3.5,450,340,110,200,225,300,300,225,200
5R_V5,3.5,450,370,110,200,225,300,300,225,200
5R_V6,3.5,450,400,110,200,225,300,300,225,200
